0x000000000204B130 => 0x0000000000E96F40   (0xEE)   VM_OP_Notify_Handler
0x000000000204B138 => 0x0000000000E8DC10   (0xEF)   VM_OP_SetLocalVariableCached_Handler
0x000000000204B140 => 0x0000000000E7DB80   (0xF0)   VM_OP_Dec_Handler
0x000000000204B148 => 0x0000000000E8B360   (0xF1)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x000000000204B150 => 0x0000000000E7E2B0   (0xF2)   VM_OP_ShiftLeft_Handler
0x000000000204B158 => 0x0000000000EABFC0   (0xF3)   VM_OP_InvalidOpcode_Handler
0x000000000204B160 => 0x0000000000E8D770   (0xF4)   VM_OP_CreateStruct_Handler
0x000000000204B168 => 0x0000000000EABFC0   (0xF5)   VM_OP_InvalidOpcode_Handler
0x000000000204B170 => 0x0000000000EABFC0   (0xF6)   VM_OP_InvalidOpcode_Handler
0x000000000204B178 => 0x0000000000E7FBC0   (0xF7)   VM_OP_CastBool_Handler
0x000000000204B180 => 0x0000000000EABFC0   (0xF8)   VM_OP_InvalidOpcode_Handler
0x000000000204B188 => 0x0000000000E84570   (0xF9)   0000000000E84570
0x000000000204B190 => 0x0000000000EABFC0   (0xFA)   VM_OP_InvalidOpcode_Handler
0x000000000204B198 => 0x0000000000E95960   (0xFB)   0000000000E95960
0x000000000204B1A0 => 0x0000000000E8C740   (0xFC)   0000000000E8C740
0x000000000204B1A8 => 0x0000000000EABFC0   (0xFD)   VM_OP_InvalidOpcode_Handler
0x000000000204B1B0 => 0x0000000000EABFC0   (0xFE)   VM_OP_InvalidOpcode_Handler
0x000000000204B1B8 => 0x0000000000E8A030   (0xFF)   VM_OP_GetGlobalObject_Handler
0x000000000204B1C0 => 0x0000000000E83980   (0x100)   VM_OP_ScriptMethodCall_Handler
0x000000000204B1C8 => 0x0000000000E8B0F0   (0x101)   0000000000E8B0F0
0x000000000204B1D0 => 0x0000000000EABFC0   (0x102)   VM_OP_InvalidOpcode_Handler
0x000000000204B1D8 => 0x0000000000E8A0F0   (0x103)   VM_OP_EvalLocalVariableCached_Handler
0x000000000204B1E0 => 0x0000000000E8B360   (0x104)   VM_OP_EvalFieldVariableOnStackRef_Handler
0x000000000204B1E8 => 0x0000000000EABFC0   (0x105)   VM_OP_InvalidOpcode_Handler
0x000000000204B1F0 => 0x0000000000E81170   (0x106)   VM_OP_DevblockBegin_Handler
0x000000000204B1F8 => 0x0000000000EABFC0   (0x107)   VM_OP_InvalidOpcode_Handler
0x000000000204B200 => 0x0000000000EABFC0   (0x108)   VM_OP_InvalidOpcode_Handler
0x000000000204B208 => 0x0000000000E803D0   (0x109)   VM_OP_GetVector_Handler
0x000000000204B210 => 0x0000000000E8C740   (0x10A)   0000000000E8C740
0x000000000204B218 => 0x0000000000EABFC0   (0x10B)   VM_OP_InvalidOpcode_Handler
