0x0000000001944778 => 0x0000000000B39B20   (0x10B)   VM_OP_InvalidOpcode_Handler
0x0000000001944780 => 0x0000000000B1A980   (0x10C)   VM_OP_GetString_Handler
0x0000000001944788 => 0x0000000000B1E9E0   (0x10D)   VM_OP_EvalArrayRef_Handler
0x0000000001944790 => 0x0000000000B39B20   (0x10E)   VM_OP_InvalidOpcode_Handler
0x0000000001944798 => 0x0000000000B1F9E0   (0x10F)   VM_OP_EvalLevelFieldVariableRef_Handler
0x00000000019447A0 => 0x0000000000B39B20   (0x110)   VM_OP_InvalidOpcode_Handler
0x00000000019447A8 => 0x0000000000B1A560   (0x111)   VM_OP_LessThanOrEqualTo_Handler
0x00000000019447B0 => 0x0000000000B39B20   (0x112)   VM_OP_InvalidOpcode_Handler
0x00000000019447B8 => 0x0000000000B1A720   (0x113)   VM_OP_Modulus_Handler
0x00000000019447C0 => 0x0000000000B39B20   (0x114)   VM_OP_InvalidOpcode_Handler
0x00000000019447C8 => 0x0000000000B39B20   (0x115)   VM_OP_InvalidOpcode_Handler
0x00000000019447D0 => 0x0000000000B1A860   (0x116)   VM_OP_GetNegByte_Handler
0x00000000019447D8 => 0x0000000000B1A7C0   (0x117)   VM_OP_CastBool_Handler
0x00000000019447E0 => 0x0000000000B39B20   (0x118)   VM_OP_InvalidOpcode_Handler
0x00000000019447E8 => 0x0000000000B1E7D0   (0x119)   VM_OP_GetLevel_Handler
0x00000000019447F0 => 0x0000000000B1A6C0   (0x11A)   VM_OP_Multiply_Handler
0x00000000019447F8 => 0x0000000000B1E690   (0x11B)   VM_OP_GetClassesObject_Handler
0x0000000001944800 => 0x0000000000B39B20   (0x11C)   VM_OP_InvalidOpcode_Handler
0x0000000001944808 => 0x0000000000B1A300   (0x11D)   VM_OP_Bit_Or_Handler
0x0000000001944810 => 0x0000000000B39B20   (0x11E)   VM_OP_InvalidOpcode_Handler
0x0000000001944818 => 0x0000000000B1EFC0   (0x11F)   VM_OP_EmptyArray_Handler
0x0000000001944820 => 0x0000000000B1CE00   (0x120)   VM_OP_ScriptThreadCallPointer_Handler
0x0000000001944828 => 0x0000000000B39B20   (0x121)   VM_OP_InvalidOpcode_Handler
0x0000000001944830 => 0x0000000000B1F040   (0x122)   VM_OP_GetSelfObject_Handler
0x0000000001944838 => 0x0000000000B1E900   (0x123)   VM_OP_GetFunction_Handler
